Company Name,Ticker,Exchange,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry
Ambev SA,ABEV3,B3 S.A.,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Brewers
B3 SA - Brasil Bolsa Balcao,B3SA3,B3 S.A.,Financials,Financial Services,Capital Markets,Financial Exchanges & Data
Banco do Brasil SA BB Brasil,BBAS3,B3 S.A.,Financials,Banks,Banks,Diversified Banks
Bank Bradesco SA,BBDC3,B3 S.A.,Financials,Insurance,Insurance,Multi-line Insurance
BB Seguridade Participacoes SA,BBSE3,B3 S.A.,Financials,Banks,Banks,Diversified Banks
Banco BTG Pactual S.A.,BPAC11,B3 S.A.,Financials,Financial Services,Capital Markets,Diversified Capital Markets
BRF SA,BRFS3,B3 S.A.,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
CCR SA,CCRO3,B3 S.A.,Industrials,Transportation,Transportation Infrastructure,Highways & Railtracks
CPFL Energia S.A.,CPFE3,B3 S.A.,Utilities,Utilities,Electric Utilities,Electric Utilities
Atacadao SA,CRFB3,B3 S.A.,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Consumer Staples Merchandise Retail
Cosan SA,CSAN3,B3 S.A.,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
Companhia Siderurgica Nacional,CSNA3,B3 S.A.,Materials,Materials,Metals & Mining,Steel
ENGIE Brasil Energia SA,EGIE3,B3 S.A.,Utilities,Utilities,Independent Power and Renewable Electricity Producers,Renewable Electricity 
Embraer SA,EMBR3,B3 S.A.,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
Equatorial Energia SA,EQTL3,B3 S.A.,Utilities,Utilities,Electric Utilities,Electric Utilities
Hypera SA,HYPE3,B3 S.A.,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
IRB Brasil Resseguros SA,IRBR3,B3 S.A.,Financials,Insurance,Insurance,Reinsurance
JBS SA,JBSS3,B3 S.A.,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
Klabin SA,KLBN11,B3 S.A.,Materials,Materials,Containers & Packaging,Paper & Plastic Packaging Products & Materials
Lojas Renner SA,LREN3,B3 S.A.,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Apparel Retail
M Dias Branco SA Industria e Comercio de Alimentos,MDIA3,B3 S.A.,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
Magazine Luiza SA,MGLU3,B3 S.A.,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Distributors,Broadline Retail
Multiplan Empreendimentos Imobiliarios SA,MULT3,B3 S.A.,Real Estate,Real Estate Management & Development,Real Estate Management & Development,Real Estate Operating Companies
Natura & Co Holding SA,NTCO3,B3 S.A.,Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products
Petroleo Brasileiro SA Petrobras,PETR3,B3 S.A.,Energy,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
Porto Seguro SA,PSSA3,B3 S.A.,Financials,Insurance,Insurance,Multi-line Insurance
Raia Drogasil SA,RADL3,B3 S.A.,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Drug Retail
Rumo SA,RAIL3,B3 S.A.,Industrials,Transportation,Ground Transportation,Rail Transportation
Localiza Rent A Car SA,RENT3,B3 S.A.,Industrials,Transportation,Ground Transportation,Passenger Ground Transportation
Banco Santander (Brasil) SA,SANB11,B3 S.A.,Financials,Banks,Banks,Diversified Banks
Companhia De Saneamento Basico Do Estado De Sao Paulo,SBSP3,B3 S.A.,Utilities,Utilities,Water Utilities,Water Utilities
Suzano SA,SUZB3,B3 S.A.,Materials,Materials,Paper & Forest Products,Paper Products
Ultrapar Participacoes SA,UGPA3,B3 S.A.,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation
Vale SA,VALE3,B3 S.A.,Materials,Materials,Metals & Mining,Steel
Weg SA,WEGE3,B3 S.A.,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
"Grupo Bimbo, S.A.B de C.V.",BIMBOA,BMV,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
Grupo Aeroportuario del Pacifico SAB de CV Class B,GAPB,BMV,Industrials,Transportation,Transportation Infrastructure,Airport Services
Power Finance Corporation,532810,BSE LTD,Financials,Financial Services, Financial Services,Specialized Finance
Delta Corp Ltd.,532848,BSE LTD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
Bata India Ltd,500043,BSE LTD,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",Footwear
Cipla Ltd,500087,BSE LTD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
Bharat Heavy Electricals Ltd,500103,BSE LTD,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
State Bank of India,500112,BSE LTD,Financials,Banks,Banks,Diversified Banks
Titan Co Ltd,500114,BSE LTD,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
Dr Reddy's Laboratories Ltd,500124,BSE LTD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
HDFC Bank Ltd,500180,BSE LTD,Financials,Banks,Banks,Diversified Banks
Hero MotoCorp Ltd,500182,BSE LTD,Consumer Discretionary,Automobiles & Components,Automobiles,Motorcycle Manufacturers
Infosys Ltd,500209,BSE LTD,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
Kotak Mahindra Bank Ltd,500247,BSE LTD,Financials,Banks,Banks,Diversified Banks
Max Financial Services Ltd,500271,BSE LTD,Financials,Insurance,Insurance,Life & Health Insurance
Vedanta Ltd,500295,BSE LTD,Materials,Materials,Metals & Mining,Diversified Metals & Mining
Piramal Enterprises Ltd,500302,BSE LTD,Financials,Financial Services, Financial Services,Specialized Finance
NIIT Ltd,500304,BSE LTD,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
Oil & Natural Gas Corp Ltd,500312,BSE LTD,Energy,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
Reliance Industries Ltd,500325,BSE LTD,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
Tata Power Co Ltd,500400,BSE LTD,Utilities,Utilities,Electric Utilities,Electric Utilities
Hindalco Industries Ltd,500440,BSE LTD,Materials,Materials,Metals & Mining,Aluminum
Tata Steel Ltd,500470,BSE LTD,Materials,Materials,Metals & Mining,Steel
Larsen & Toubro Ltd,500510,BSE LTD,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
Mahindra & Mahindra Ltd,500520,BSE LTD,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
Bosch Ltd,500530,BSE LTD,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
Tata Motors Ltd,500570,BSE LTD,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
